,File,Duration (Sec),Text Length,Speaking Length (ms),Spealing Percentage
448,0WTBFu4kJyQ_0109,4.2,6,2.5,0.5952380952380952
449,0WTBFu4kJyQ_0110,4.4,4,3.0000000000000004,0.6818181818181819
450,0WTBFu4kJyQ_0111,2.2,5,2.0,0.9090909090909091
451,0WTBFu4kJyQ_0112,5.6,8,3.3,0.5892857142857143
452,0WTBFu4kJyQ_0113,7.9,10,5.399999999999999,0.6835443037974681
453,0WTBFu4kJyQ_0114,5.5,6,4.300000000000001,0.781818181818182
454,0WTBFu4kJyQ_0115,4.2,7,3.3,0.7857142857142856
455,0WTBFu4kJyQ_0116,4.0,5,1.9000000000000004,0.4750000000000001
456,0WTBFu4kJyQ_0117,5.1,8,2.999999999999999,0.588235294117647
457,0WTBFu4kJyQ_0118,6.4,7,4.700000000000001,0.7343750000000001
458,0WTBFu4kJyQ_0119,4.8,6,2.5,0.5208333333333334
459,0WTBFu4kJyQ_0120,3.1,8,3.0,0.9677419354838709
460,0WTBFu4kJyQ_0121,6.1,7,3.7,0.6065573770491804
461,0WTBFu4kJyQ_0122,3.5,6,2.0000000000000004,0.5714285714285715
462,0WTBFu4kJyQ_0123,4.6,4,2.3000000000000003,0.5000000000000001
463,0WTBFu4kJyQ_0124,2.8,4,2.3,0.8214285714285714
464,0WTBFu4kJyQ_0125,2.6,7,1.4000000000000001,0.5384615384615385
465,0WTBFu4kJyQ_0126,3.1,4,1.9,0.6129032258064515
466,0WTBFu4kJyQ_0127,2.9,6,2.8,0.9655172413793103
467,0WTBFu4kJyQ_0128,2.1,4,1.7,0.8095238095238094
